Jugador,Nacionalidad,Club,Pais_Club
Ayoub El Kaabi,Marruecos,Olympiacos,Grecia
Ayoub Amaimouni,Marruecos,Eintracht Frankfurt,Alemania
Johnny Placide,Haití,Bastia,Francia
Alexandre Pierre,Haití,Sochaux,Francia
Josue Duverger,Haití,Cosmos Koblenz,Alemania
Carlens Arcus,Haití,Angers,Francia
Wilguens Pauguain,Haití,Zulte Waregem,Bélgica
Duke Lacroix,Haití,Colorado Springs Switchbacks,Estados Unidos
Martin Experience,Haití,Nancy,Francia
Jean-Kevin Duverne,Haití,Gent,Bélgica
Ricardo Ade,Haití,LDU Quito,Ecuador
Hannes Delcroix,Haití,Lugano,Suiza
Keeto Thermoncy,Haití,Young Boys,Suiza
Leverton Pierre,Haití,Vizela,Portugal
Carl-Fred Sainthe,Haití,El Paso Locomotive,Estados Unidos
Jean-Jacques Danley,Haití,Philadelphia Union,Estados Unidos
Jean-Ricner Bellegarde,Haití,Wolverhampton Wanderers,Inglaterra
Pierre Woodenski,Haití,Violette,Haití
Dominique Simon,Haití,Tatran Presov,Eslovaquia
Louicius Deedson,Haití,Dallas,Estados Unidos
Ruben Providence,Haití,Almere City,Países Bajos
Josue Casimir,Haití,Auxerre,Francia
Derrick Etienne,Haití,Toronto FC,Canadá
Wilson Isidor,Haití,Sunderland,Inglaterra
Duckens Nazon,Haití,Esteghlal,Irán
Frantzdy Pierrot,Haití,Caykur Rizespor,Turquía
Yassin Fortune,Haití,Vizela,Portugal
Lenny Joseph,Haití,Ferencváros,Hungría
Chris Brady,Estados Unidos,Chicago Fire,Estados Unidos
Matt Freese,Estados Unidos,New York City FC,Estados Unidos
Matt Turner,Estados Unidos,New England Revolution,Estados Unidos
Max Arfsten,Estados Unidos,Columbus Crew,Estados Unidos
Sergiño Dest,Estados Unidos,PSV Eindhoven,Países Bajos
Alex Freeman,Estados Unidos,Villarreal,España
Mark McKenzie,Estados Unidos,Toulouse,Francia
Tim Ream,Estados Unidos,Charlotte FC,Estados Unidos
Chris Richards,Estados Unidos,Crystal Palace,Inglaterra
Antonee Robinson,Estados Unidos,Fulham,Inglaterra
Miles Robinson,Estados Unidos,Cincinnati,Estados Unidos
Joe Scally,Estados Unidos,Borussia Mönchengladbach,Alemania
Auston Trusty,Estados Unidos,Celtic,Escocia
Tyler Adams,Estados Unidos,Bournemouth,Inglaterra
Sebastian Berhalter,Estados Unidos,Vancouver Whitecaps,Canadá
Weston McKennie,Estados Unidos,Juventus,Italia
Cristian Roldan,Estados Unidos,Seattle Sounders,Estados Unidos
Brenden Aaronson,Estados Unidos,Leeds United,Inglaterra
Christian Pulisic,Estados Unidos,AC Milan,Italia
Gio Reyna,Estados Unidos,Borussia Mönchengladbach,Alemania
Malik Tillman,Estados Unidos,Bayer Leverkusen,Alemania
Tim Weah,Estados Unidos,Marseille,Francia
Alejandro Zendejas,Estados Unidos,Real Betis,España
Folarin Balogun,Estados Unidos,Monaco,Francia
Ricardo Pepi,Estados Unidos,PSV Eindhoven,Países Bajos
Haji Wright,Estados Unidos,Coventry City,Inglaterra
Oliver Baumann,Alemania,Hoffenheim,Alemania
Manuel Neuer,Alemania,Bayern Múnich,Alemania
Alexander Nübel,Alemania,Monaco,Francia
Waldemar Anton,Alemania,Borussia Dortmund,Alemania
Nathaniel Brown,Alemania,Eintracht Frankfurt,Alemania
Joshua Kimmich,Alemania,Bayern Múnich,Alemania
David Raum,Alemania,RB Leipzig,Alemania
Antonio Rüdiger,Alemania,Real Madrid,España
Nico Schlotterbeck,Alemania,Borussia Dortmund,Alemania
Jonathan Tah,Alemania,Bayern Múnich,Alemania
Malick Thiaw,Alemania,Newcastle United,Inglaterra
Nadiem Amiri,Alemania,Mainz 05,Alemania
Leon Goretzka,Alemania,Bayern Múnich,Alemania
Pascal Gross,Alemania,Brighton,Inglaterra
Jamie Leweling,Alemania,Stuttgart,Alemania
Lennart Karl,Alemania,Bayern Múnich,Alemania
Jamal Musiala,Alemania,Bayern Múnich,Alemania
Felix Nmecha,Alemania,Borussia Dortmund,Alemania
Alexander Pavlovic,Alemania,Bayern Múnich,Alemania
Angelo Stiller,Alemania,Stuttgart,Alemania
Florian Wirtz,Alemania,Liverpool,Inglaterra
Maximilian Beier,Alemania,Borussia Dortmund,Alemania
Kai Havertz,Alemania,Arsenal,Inglaterra
Leroy Sané,Alemania,Galatasaray,Turquía
Denis Undav,Alemania,Stuttgart,Alemania
Nick Woltemade,Alemania,Newcastle United,Inglaterra
Tyrick Bodack,Curaçao,SC Telstar,Países Bajos
Trevor Doornbusch,Curaçao,VVV-Venlo,Países Bajos
Eloy Room,Curaçao,Miami FC,Estados Unidos
Riechedly Bazoer,Curaçao,Konyaspor,Turquía
Joshua Brenet,Curaçao,Kayserispor,Turquía
Roshon van Eijma,Curaçao,RKC Waalwijk,Países Bajos
Sherel Floranus,Curaçao,PEC Zwolle,Países Bajos
Deveron Fonville,Curaçao,NEC Nijmegen,Países Bajos
Jurien Gaari,Curaçao,Abha Club,Arabia Saudita
